RocketLogger CSV File
File Version,3
Block Size,1
Block Count,627                 
Sample Count,627                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 22:18:21 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1615674197.536563973,1,1,-48264,689212,-1251049,25790567,126936,32135
1615674198.540104832,1,1,-50921,510148,-1253015,25787629,121958,-438351
1615674199.543627787,1,1,-50099,493130,-1251172,25789710,122966,-129713
1615674200.547188266,1,1,-48865,561412,-1251295,25790689,123785,-51836
1615674201.550684892,1,1,-44311,845106,-1249451,25791424,126526,256818
1615674202.554231069,1,1,-47632,699097,-1250312,25790077,125361,45339
1615674203.557759894,1,1,-48011,632287,-1249943,25790200,126274,-26933
1615674204.561292978,1,1,-50257,440903,-1252523,25790077,121454,-196103
1615674205.564837246,1,1,-50447,556697,-1251418,25791301,124352,-56494
1615674206.568367793,1,1,-47790,826564,-1249206,25793015,127692,249393
1615674207.571900062,1,1,-48549,727068,-1249574,25790689,125676,76301
1615674208.575425581,1,1,-48264,660014,-1250680,25791424,123502,5078
1615674209.578966494,1,1,-42445,1152934,-1248468,25790322,123533,29578
1615674210.582491125,1,1,-48612,551352,-1249574,25791179,126936,-61363
1615674211.586039585,1,1,-46746,750325,-1247854,25791913,124762,166139
1615674212.589568028,1,1,-46303,745471,-1249451,25791546,125298,100030
1615674213.593087783,1,1,-49023,662713,-1251172,25791179,125770,6409
1615674214.596620850,1,1,-50099,391725,-1251418,25789588,122052,-270881
1615674215.600152964,1,1,-47632,552526,-1249820,25791669,125077,-57703
1615674216.603685138,1,1,-46430,740493,-1250066,25792770,124793,157908
1615674217.607245485,1,1,-47221,740248,-1249329,25791669,125865,96387
1615674218.610753565,1,1,-50130,660697,-1250066,25790689,126243,6269
1615674219.614292570,1,1,-50826,396194,-1251786,25789955,122966,-260251
1615674220.617825312,1,1,-54369,-227891,-1252523,25789710,120320,-569781
1615674221.621348537,1,1,-45892,810632,-1248837,25793137,126117,233632
1615674222.624898040,1,1,-47600,714888,-1248714,25792158,125739,64270
1615674223.628411311,1,1,-47980,643224,-1249697,25791179,126463,-13344
1615674224.631961587,1,1,-50731,455537,-1250066,25790445,124195,-177295
1615674225.635499603,1,1,-46114,561517,-1249083,25791301,123974,-51188
1615674226.639017276,1,1,-46335,842653,-1247240,25793505,128511,248149
